FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
13.0,0.0,5.0,0.0,2,3451
11.0,0.0,7.0,0.0,2,4894
9.0,0.0,9.0,0.0,2,5186
7.0,0.0,11.0,0.0,2,5295
5.0,0.0,13.0,0.0,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
3.0,1.3,0.7,13.0,11,3161
3.2,1.3,2.7,10.8,11,3268
2.2,1.5,4.5,9.8,11,3451
1.8,0.8,6.2,9.2,11,4894
0.0,0.0,9.0,9.0,11,5186
2.7,1.3,9.7,4.3,11,5295
1.9,1.4,11.6,3.1,11,5361
0.8,2.6,11.4,3.2,11,5499
2.0,0.0,16.0,0.0,11,14744
1.0,1.4,0.6,15.0,20,3161
2.2,1.3,2.7,11.8,20,3268
1.1,0.2,5.8,10.9,20,3451
1.0,0.3,6.7,10.0,20,4894
0.4,0.0,9.0,8.6,20,5186
1.7,1.0,10.0,5.3,20,5295
1.9,0.9,12.1,3.1,20,5361
0.8,0.8,14.2,2.2,20,5499
0.5,1.8,14.2,1.5,20,14744
2.1,1.1,0.9,13.9,29,3161
1.6,0.5,3.5,12.4,29,3268
0.3,0.0,5.0,12.7,29,3451
1.2,0.4,6.6,9.8,29,4894
0.0,0.1,8.9,9.0,29,5186
2.2,1.2,9.8,4.8,29,5295
0.7,0.8,12.2,4.3,29,5361
0.4,0.6,14.4,2.6,29,5499
0.9,0.9,15.1,1.1,29,14744
2.1,1.1,0.9,13.9,38,3161
1.3,1.0,3.0,12.7,38,3268
0.4,0.1,4.9,12.6,38,3451
0.7,0.2,6.8,10.3,38,4894
0.0,0.1,8.9,9.0,38,5186
1.1,0.8,10.2,5.9,38,5295
1.1,0.3,12.7,3.9,38,5361
0.5,0.6,13.4,3.5,38,5499
0.7,0.3,15.7,1.3,38,14744
1.8,1.3,0.7,14.2,47,3161
1.7,1.0,3.0,12.3,47,3268
0.6,0.3,5.7,11.4,47,3451
1.0,0.7,6.3,10.0,47,4894
0.1,0.1,8.9,8.9,47,5186
1.1,0.4,10.6,5.9,47,5295
0.3,0.4,12.6,4.7,47,5361
0.4,0.0,14.0,3.6,47,5499
0.8,0.1,15.9,1.2,47,14744
1.9,1.7,0.3,14.1,56,3161
2.1,0.8,3.2,11.9,56,3268
0.6,0.3,5.7,11.4,56,3451
0.4,0.1,6.9,10.6,56,4894
0.0,0.0,9.0,9.0,56,5186
0.9,0.3,10.7,6.1,56,5295
0.3,0.2,12.8,4.7,56,5361
0.3,0.4,14.6,2.7,56,5499
0.9,0.6,15.4,1.1,56,14744
1.3,1.4,0.6,14.7,65,3161
1.8,1.0,3.0,12.2,65,3268
0.5,0.2,4.8,12.5,65,3451
0.8,0.3,6.7,10.2,65,4894
0.4,0.1,8.9,8.6,65,5186
0.3,0.6,10.4,6.7,65,5295
0.5,0.4,12.6,4.5,65,5361
0.2,0.7,14.3,2.8,65,5499
0.9,0.3,15.7,1.1,65,14744
1.8,1.2,0.8,14.2,74,3161
1.7,0.5,3.5,12.3,74,3268
0.4,0.3,4.7,12.6,74,3451
0.4,0.1,6.9,10.6,74,4894
0.7,0.0,9.0,8.3,74,5186
0.2,0.1,10.9,6.8,74,5295
0.7,0.5,12.5,4.3,74,5361
0.5,0.3,13.7,3.5,74,5499
0.4,0.1,15.9,1.6,74,14744
2.1,1.0,1.0,13.9,83,3161
1.2,1.2,2.8,12.8,83,3268
0.6,0.4,5.6,11.4,83,3451
0.4,0.4,6.6,10.6,83,4894
0.3,0.1,8.9,8.7,83,5186
0.5,0.4,10.6,6.5,83,5295
0.4,0.3,12.7,4.6,83,5361
0.2,0.2,13.8,3.8,83,5499
0.4,0.4,15.6,1.6,83,14744
1.5,1.0,1.0,14.5,92,3161
1.4,1.3,2.7,12.6,92,3268
0.4,0.3,5.7,11.6,92,3451
0.4,0.3,6.7,10.6,92,4894
0.1,0.1,8.9,8.9,92,5186
0.3,0.1,10.9,6.7,92,5295
0.5,0.2,12.8,4.5,92,5361
0.3,0.2,14.8,2.7,92,5499
0.7,0.1,15.9,1.3,92,14744
1.7,0.6,1.4,14.3,101,3161
1.5,1.0,3.0,12.5,101,3268
0.7,0.1,4.9,12.3,101,3451
0.4,0.4,6.6,10.6,101,4894
0.0,0.1,8.9,9.0,101,5186
0.2,0.1,10.9,6.8,101,5295
0.3,0.1,12.9,4.7,101,5361
0.1,0.3,14.7,2.9,101,5499
0.6,0.1,15.9,1.4,101,14744
1.7,1.3,0.7,14.3,110,3161
1.2,1.0,3.0,12.8,110,3268
0.9,0.2,4.8,12.1,110,3451
0.7,0.7,6.3,10.3,110,4894
0.1,0.0,9.0,8.9,110,5186
0.3,0.0,11.0,6.7,110,5295
0.5,0.2,12.8,4.5,110,5361
0.1,0.2,13.8,3.9,110,5499
0.6,0.2,15.8,1.4,110,14744
1.4,1.2,0.8,14.6,119,3161
1.1,1.1,2.9,12.9,119,3268
0.4,0.4,5.6,11.6,119,3451
0.3,0.3,6.7,10.7,119,4894
0.3,0.1,8.9,8.7,119,5186
0.5,0.0,11.0,6.5,119,5295
0.2,0.1,12.9,4.8,119,5361
0.5,0.4,13.6,3.5,119,5499
0.4,0.8,15.2,1.6,119,14744
1.5,0.8,1.2,14.5,128,3161
0.9,1.4,2.6,13.1,128,3268
0.4,0.0,6.0,11.6,128,3451
0.4,0.2,6.8,10.6,128,4894
0.2,0.1,8.9,8.8,128,5186
0.6,0.3,10.7,6.4,128,5295
0.2,0.1,12.9,4.8,128,5361
0.3,0.3,14.7,2.7,128,5499
0.5,0.2,15.8,1.5,128,14744
1.0,1.1,0.9,15.0,137,3161
1.5,0.7,3.3,12.5,137,3268
0.4,0.1,4.9,12.6,137,3451
0.7,0.1,6.9,10.3,137,4894
0.0,0.0,9.0,9.0,137,5186
0.5,0.2,10.8,6.5,137,5295
0.3,0.1,12.9,4.7,137,5361
0.2,0.2,14.8,2.8,137,5499
0.4,0.2,15.8,1.6,137,14744
0.7,1.5,0.5,15.3,146,3161
1.4,0.2,3.8,12.6,146,3268
0.6,0.2,4.8,12.4,146,3451
0.2,0.3,6.7,10.8,146,4894
0.2,0.1,8.9,8.8,146,5186
0.1,0.1,10.9,6.9,146,5295
0.4,0.2,12.8,4.6,146,5361
0.3,0.2,13.8,3.7,146,5499
0.7,0.4,15.6,1.3,146,14744
1.8,1.5,0.5,14.2,155,3161
1.3,1.4,2.6,12.7,155,3268
1.0,0.1,5.9,11.0,155,3451
0.4,0.5,6.5,10.6,155,4894
0.2,0.0,9.0,8.8,155,5186
0.5,0.0,11.0,6.5,155,5295
0.5,0.0,13.0,4.5,155,5361
0.5,0.3,13.7,3.5,155,5499
