FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
13.0,0.0,5.0,0.0,2,3451
11.0,0.0,7.0,0.0,2,4894
9.0,0.0,9.0,0.0,2,5186
7.0,0.0,11.0,0.0,2,5295
5.0,0.0,13.0,0.0,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
0.0,2.0,0.0,16.0,11,3161
0.0,4.0,0.0,14.0,11,3268
0.0,6.0,0.0,12.0,11,3451
0.0,7.0,0.0,11.0,11,4894
9.0,0.0,9.0,0.0,11,5186
7.0,0.0,11.0,0.0,11,5295
5.0,0.0,13.0,0.0,11,5361
4.0,0.0,14.0,0.0,11,5499
2.0,0.0,16.0,0.0,11,14744
0.0,2.0,0.0,16.0,20,3161
1.2,2.9,1.1,12.8,20,3268
4.2,0.3,5.7,7.8,20,3451
1.4,0.0,7.0,9.6,20,4894
0.0,0.1,8.9,9.0,20,5186
0.2,1.4,9.6,6.8,20,5295
0.5,3.7,9.3,4.5,20,5361
2.5,1.0,14.0,0.5,20,5499
2.0,0.0,16.0,0.0,20,14744
0.1,1.9,0.1,15.9,29,3161
2.5,1.7,2.3,11.5,29,3268
1.0,1.3,3.7,12.0,29,3451
1.8,0.2,6.8,9.2,29,4894
0.0,0.0,9.0,9.0,29,5186
0.9,1.5,9.5,6.1,29,5295
2.0,1.4,11.6,3.0,29,5361
0.6,3.3,11.7,2.4,29,5499
2.0,0.0,16.0,0.0,29,14744
0.3,1.8,0.2,15.7,38,3161
1.3,1.2,2.8,12.7,38,3268
1.1,0.3,4.7,11.9,38,3451
1.6,0.6,6.4,9.4,38,4894
0.0,0.0,9.0,9.0,38,5186
1.8,0.6,10.4,5.2,38,5295
2.2,0.6,12.4,2.8,38,5361
1.3,0.7,13.3,2.7,38,5499
1.2,0.4,15.6,0.8,38,14744
1.4,1.6,0.4,14.6,47,3161
2.0,0.7,3.3,12.0,47,3268
0.5,0.3,5.7,11.5,47,3451
0.4,0.5,6.5,10.6,47,4894
0.0,0.1,8.9,9.0,47,5186
1.1,0.9,10.1,5.9,47,5295
1.3,0.6,12.4,3.7,47,5361
0.9,0.0,14.0,3.1,47,5499
1.1,1.2,14.8,0.9,47,14744
1.1,1.4,0.6,14.9,56,3161
1.2,1.1,2.9,12.8,56,3268
0.8,0.2,5.8,11.2,56,3451
1.7,0.4,6.6,9.3,56,4894
0.0,0.2,8.8,9.0,56,5186
1.5,0.2,10.8,5.5,56,5295
1.0,0.5,12.5,4.0,56,5361
0.3,0.0,15.0,2.7,56,5499
0.8,0.4,15.6,1.2,56,14744
1.9,1.3,0.7,14.1,65,3161
1.5,1.4,2.6,12.5,65,3268
0.3,0.0,5.0,12.7,65,3451
0.9,0.4,6.6,10.1,65,4894
0.0,0.1,8.9,9.0,65,5186
1.5,0.8,10.2,5.5,65,5295
0.5,0.1,12.9,4.5,65,5361
0.7,0.0,15.0,2.3,65,5499
0.6,1.3,14.7,1.4,65,14744
1.1,1.5,0.5,14.9,74,3161
2.3,1.2,2.8,11.7,74,3268
0.3,0.0,5.0,12.7,74,3451
0.7,1.2,5.8,10.3,74,4894
0.0,0.2,8.8,9.0,74,5186
0.7,0.6,10.4,6.3,74,5295
0.0,0.4,12.6,5.0,74,5361
0.4,0.0,14.0,3.6,74,5499
0.5,1.2,14.8,1.5,74,14744
1.6,1.4,0.6,14.4,83,3161
1.4,1.1,2.9,12.6,83,3268
0.3,0.0,6.0,11.7,83,3451
1.3,0.1,6.9,9.7,83,4894
0.0,0.1,8.9,9.0,83,5186
1.2,0.1,10.9,5.8,83,5295
0.0,0.3,12.7,5.0,83,5361
0.4,0.1,13.9,3.6,83,5499
1.2,0.6,15.4,0.8,83,14744
0.9,1.5,0.5,15.1,92,3161
1.2,0.8,3.2,12.8,92,3268
0.5,0.0,6.0,11.5,92,3451
0.7,0.3,6.7,10.3,92,4894
0.0,0.2,8.8,9.0,92,5186
0.3,0.7,10.3,6.7,92,5295
0.1,0.3,12.7,4.9,92,5361
0.4,0.1,14.9,2.6,92,5499
0.9,0.3,15.7,1.1,92,14744
1.0,1.3,0.7,15.0,101,3161
1.5,1.1,2.9,12.5,101,3268
0.5,0.0,5.0,12.5,101,3451
0.5,0.1,6.9,10.5,101,4894
0.0,0.0,9.0,9.0,101,5186
1.0,0.3,10.7,6.0,101,5295
0.7,0.3,12.7,4.3,101,5361
0.3,0.1,14.9,2.7,101,5499
0.9,0.1,15.9,1.1,101,14744
1.4,1.7,0.3,14.6,110,3161
1.6,1.1,2.9,12.4,110,3268
0.5,0.0,5.0,12.5,110,3451
0.8,0.6,6.4,10.2,110,4894
0.0,0.3,8.7,9.0,110,5186
0.4,0.0,11.0,6.6,110,5295
0.1,0.1,12.9,4.9,110,5361
0.4,0.0,14.0,3.6,110,5499
0.5,0.1,15.9,1.5,110,14744
1.0,1.2,0.8,15.0,119,3161
1.0,1.2,2.8,13.0,119,3268
0.7,0.0,6.0,11.3,119,3451
0.1,0.1,6.9,10.9,119,4894
0.0,0.0,9.0,9.0,119,5186
1.2,0.5,10.5,5.8,119,5295
0.0,0.3,12.7,5.0,119,5361
0.5,0.0,14.0,3.5,119,5499
0.5,0.6,15.4,1.5,119,14744
1.3,1.2,0.8,14.7,128,3161
1.4,0.8,3.2,12.6,128,3268
0.3,0.0,6.0,11.7,128,3451
0.6,0.3,6.7,10.4,128,4894
0.0,0.1,8.9,9.0,128,5186
0.2,0.0,11.0,6.8,128,5295
0.2,0.1,12.9,4.8,128,5361
0.2,0.3,14.7,2.8,128,5499
0.6,0.2,15.8,1.4,128,14744
1.1,1.5,0.5,14.9,137,3161
1.0,0.8,3.2,13.0,137,3268
0.3,0.0,5.0,12.7,137,3451
0.3,0.2,6.8,10.7,137,4894
0.0,0.0,9.0,9.0,137,5186
0.3,0.2,10.8,6.7,137,5295
0.0,0.4,12.6,5.0,137,5361
0.7,0.0,15.0,2.3,137,5499
0.6,0.0,16.0,1.4,137,14744
1.4,1.5,0.5,14.6,146,3161
1.3,1.1,2.9,12.7,146,3268
0.5,0.0,5.0,12.5,146,3451
0.1,0.2,6.8,10.9,146,4894
0.0,0.0,9.0,9.0,146,5186
0.1,0.0,11.0,6.9,146,5295
0.0,0.2,12.8,5.0,146,5361
0.6,0.0,14.0,3.4,146,5499
1.2,0.0,16.0,0.8,146,14744
1.0,1.3,0.7,15.0,155,3161
0.9,1.1,2.9,13.1,155,3268
0.7,0.0,6.0,11.3,155,3451
0.7,0.4,6.6,10.3,155,4894
0.0,0.0,9.0,9.0,155,5186
0.0,0.1,10.9,7.0,155,5295
0.1,0.4,12.6,4.9,155,5361
0.8,0.0,14.0,3.2,155,5499
