FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
14.0,0.0,6.0,0.0,2,1080
12.0,0.0,8.0,0.0,2,1140
9.0,0.0,11.0,0.0,2,1230
8.0,0.0,12.0,0.0,2,1320
6.0,0.0,14.0,0.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
5.9,0.8,2.2,11.1,11,960
4.1,1.4,3.6,10.9,11,1020
1.7,3.5,2.5,12.3,11,1080
1.9,3.2,4.8,10.1,11,1140
4.5,2.1,8.9,4.5,11,1230
3.4,1.2,10.8,4.6,11,1320
2.3,1.2,12.8,3.7,11,1770
1.4,3.3,12.7,2.6,11,1980
2.0,0.0,18.0,0.0,11,2160
3.2,1.5,1.5,13.8,20,960
2.5,1.2,3.8,12.5,20,1020
1.7,2.3,3.7,12.3,20,1080
1.4,2.4,5.6,10.6,20,1140
2.5,0.9,10.1,6.5,20,1230
1.3,1.1,10.9,6.7,20,1320
0.7,0.9,13.1,5.3,20,1770
2.9,0.8,15.2,1.1,20,1980
0.9,2.3,15.7,1.1,20,2160
0.7,1.9,1.1,16.3,29,960
1.3,1.7,3.3,13.7,29,1020
3.2,1.4,4.6,10.8,29,1080
2.4,0.9,7.1,9.6,29,1140
1.6,1.2,9.8,7.4,29,1230
1.6,0.2,11.8,6.4,29,1320
2.1,0.4,13.6,3.9,29,1770
2.2,1.0,15.0,1.8,29,1980
1.2,1.4,16.6,0.8,29,2160
1.5,0.8,2.2,15.5,38,960
1.8,0.8,4.2,13.2,38,1020
3.0,1.1,4.9,11.0,38,1080
2.1,1.2,6.8,9.9,38,1140
1.4,1.7,9.3,7.6,38,1230
1.2,0.6,11.4,6.8,38,1320
1.3,0.7,13.3,4.7,38,1770
1.5,1.0,15.0,2.5,38,1980
1.2,0.8,17.2,0.8,38,2160
0.7,0.6,2.4,16.3,47,960
1.7,1.3,3.7,13.3,47,1020
2.2,1.0,5.0,11.8,47,1080
2.0,1.1,6.9,10.0,47,1140
1.2,1.0,10.0,7.8,47,1230
1.4,0.3,11.7,6.6,47,1320
0.9,0.4,13.6,5.1,47,1770
2.2,0.5,15.5,1.8,47,1980
0.9,0.3,17.7,1.1,47,2160
1.3,0.8,2.2,15.7,56,960
1.0,1.2,3.8,14.0,56,1020
1.2,0.7,5.3,12.8,56,1080
2.7,0.6,7.4,9.3,56,1140
1.4,1.0,10.0,7.6,56,1230
0.9,0.8,11.2,7.1,56,1320
0.9,0.4,13.6,5.1,56,1770
1.5,1.8,14.2,2.5,56,1980
1.1,0.7,17.3,0.9,56,2160
1.0,1.1,1.9,16.0,65,960
1.0,1.1,3.9,14.0,65,1020
2.0,0.9,5.1,12.0,65,1080
1.6,1.6,6.4,10.4,65,1140
1.8,1.1,9.9,7.2,65,1230
1.5,0.2,11.8,6.5,65,1320
0.3,0.5,13.5,5.7,65,1770
1.1,1.0,15.0,2.9,65,1980
1.1,0.4,17.6,0.9,65,2160
1.3,0.3,2.7,15.7,74,960
1.8,1.5,3.5,13.2,74,1020
2.6,1.3,4.7,11.4,74,1080
2.9,1.4,6.6,9.1,74,1140
1.7,1.0,10.0,7.3,74,1230
1.0,1.0,11.0,7.0,74,1320
0.8,0.0,14.0,5.2,74,1770
1.2,0.7,15.3,2.8,74,1980
1.0,0.3,17.7,1.0,74,2160
0.7,0.7,2.3,16.3,83,960
2.0,1.2,3.8,13.0,83,1020
1.6,0.9,5.1,12.4,83,1080
2.2,1.3,6.7,9.8,83,1140
1.1,1.1,9.9,7.9,83,1230
1.0,0.3,11.7,7.0,83,1320
0.3,0.8,13.2,5.7,83,1770
1.3,1.0,15.0,2.7,83,1980
0.8,0.8,17.2,1.2,83,2160
1.1,0.6,2.4,15.9,92,960
1.5,0.7,4.3,13.5,92,1020
2.2,1.7,4.3,11.8,92,1080
1.9,1.2,6.8,10.1,92,1140
1.9,1.0,10.0,7.1,92,1230
0.6,0.7,11.3,7.4,92,1320
0.3,0.2,13.8,5.7,92,1770
1.0,0.4,15.6,3.0,92,1980
1.1,0.5,17.5,0.9,92,2160
1.0,0.5,2.5,16.0,101,960
1.4,0.8,4.2,13.6,101,1020
1.9,0.9,5.1,12.1,101,1080
2.5,1.1,6.9,9.5,101,1140
1.1,0.7,10.3,7.9,101,1230
1.2,0.4,11.6,6.8,101,1320
0.5,0.4,13.6,5.5,101,1770
1.0,0.2,15.8,3.0,101,1980
1.1,1.0,17.0,0.9,101,2160
0.8,0.4,2.6,16.2,110,960
1.7,1.0,4.0,13.3,110,1020
1.9,1.1,4.9,12.1,110,1080
1.7,1.4,6.6,10.3,110,1140
0.8,1.0,10.0,8.2,110,1230
0.8,0.2,11.8,7.2,110,1320
0.7,0.4,13.6,5.3,110,1770
0.3,0.8,15.2,3.7,110,1980
1.0,0.8,17.2,1.0,110,2160
1.0,0.9,2.1,16.0,119,960
1.6,1.2,3.8,13.4,119,1020
2.8,1.1,4.9,11.2,119,1080
3.2,1.0,7.0,8.8,119,1140
1.4,0.4,10.6,7.6,119,1230
1.0,0.7,11.3,7.0,119,1320
0.5,0.3,13.7,5.5,119,1770
0.9,0.6,15.4,3.1,119,1980
0.8,0.9,17.1,1.2,119,2160
0.8,0.3,2.7,16.2,128,960
1.3,1.2,3.8,13.7,128,1020
1.8,1.1,4.9,12.2,128,1080
1.9,0.6,7.4,10.1,128,1140
1.1,1.0,10.0,7.9,128,1230
0.9,0.5,11.5,7.1,128,1320
0.4,0.4,13.6,5.6,128,1770
0.6,0.8,15.2,3.4,128,1980
0.8,0.5,17.5,1.2,128,2160
1.5,0.6,2.4,15.5,137,960
1.3,1.1,3.9,13.7,137,1020
1.7,0.9,5.1,12.3,137,1080
1.8,1.9,6.1,10.2,137,1140
1.1,0.7,10.3,7.9,137,1230
0.9,0.6,11.4,7.1,137,1320
0.3,0.0,14.0,5.7,137,1770
1.1,0.7,15.3,2.9,137,1980
0.9,0.5,17.5,1.1,137,2160
1.0,0.5,2.5,16.0,146,960
1.4,0.6,4.4,13.6,146,1020
2.2,1.2,4.8,11.8,146,1080
1.6,1.2,6.8,10.4,146,1140
1.3,0.9,10.1,7.7,146,1230
1.5,0.2,11.8,6.5,146,1320
0.1,0.3,13.7,5.9,146,1770
1.0,0.1,16.9,2.0,146,1980
0.7,0.8,17.2,1.3,146,2160
1.1,0.5,2.5,15.9,155,960
2.2,0.9,4.1,12.8,155,1020
1.9,0.9,5.1,12.1,155,1080
2.5,0.9,7.1,9.5,155,1140
1.6,0.6,10.4,7.4,155,1230
1.0,0.3,11.7,7.0,155,1320
0.3,0.0,14.0,5.7,155,1770
1.2,0.3,15.7,2.8,155,1980
0.7,0.5,17.5,1.3,155,2160
1.0,0.3,2.7,16.0,164,960
1.2,1.0,4.0,13.8,164,1020
1.1,0.9,5.1,12.9,164,1080
1.2,1.1,6.9,10.8,164,1140
1.3,1.3,9.7,7.7,164,1230
0.9,0.6,11.4,7.1,164,1320
0.6,0.3,13.7,5.4,164,1770
1.2,0.6,15.4,2.8,164,1980
0.6,0.9,17.1,1.4,164,2160
