FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
13.0,0.0,5.0,0.0,2,3451
11.0,0.0,7.0,0.0,2,4894
9.0,0.0,9.0,0.0,2,5186
7.0,0.0,11.0,0.0,2,5295
5.0,0.0,13.0,0.0,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
1.9,1.6,0.4,14.1,11,3161
3.4,1.5,2.5,10.6,11,3268
2.5,2.5,3.5,9.5,11,3451
2.1,0.4,6.6,8.9,11,4894
0.2,0.2,8.8,8.8,11,5186
2.1,2.1,8.9,4.9,11,5295
3.0,1.7,11.3,2.0,11,5361
1.5,1.8,12.2,2.5,11,5499
2.0,0.0,16.0,0.0,11,14744
2.4,1.2,0.8,13.6,20,3161
1.7,1.3,2.7,12.3,20,3268
0.9,0.6,5.4,11.1,20,3451
1.3,0.7,6.3,9.7,20,4894
0.0,0.0,9.0,9.0,20,5186
1.6,0.7,10.3,5.4,20,5295
1.4,1.1,11.9,3.6,20,5361
0.3,1.0,14.0,2.7,20,5499
0.7,1.3,14.7,1.3,20,14744
1.8,1.3,0.7,14.2,29,3161
1.8,1.8,2.2,12.2,29,3268
0.4,0.5,4.5,12.6,29,3451
1.0,0.5,6.5,10.0,29,4894
0.0,0.2,8.8,9.0,29,5186
1.9,0.5,10.5,5.1,29,5295
0.6,0.8,12.2,4.4,29,5361
0.2,0.3,14.7,2.8,29,5499
0.9,1.0,15.0,1.1,29,14744
2.3,0.8,1.2,13.7,38,3161
1.5,1.3,2.7,12.5,38,3268
0.6,0.1,4.9,12.4,38,3451
0.7,0.6,6.4,10.3,38,4894
0.4,0.2,8.8,8.6,38,5186
1.5,0.4,10.6,5.5,38,5295
0.7,0.0,13.0,4.3,38,5361
0.4,0.2,13.8,3.6,38,5499
0.4,0.2,15.8,1.6,38,14744
2.1,1.3,0.7,13.9,47,3161
1.4,0.9,3.1,12.6,47,3268
0.4,0.6,5.4,11.6,47,3451
1.0,0.5,6.5,10.0,47,4894
0.2,0.1,8.9,8.8,47,5186
1.4,0.6,10.4,5.6,47,5295
0.3,0.2,12.8,4.7,47,5361
0.4,0.2,13.8,3.6,47,5499
0.4,0.3,15.7,1.6,47,14744
1.6,1.3,0.7,14.4,56,3161
1.5,1.1,2.9,12.5,56,3268
0.3,0.0,6.0,11.7,56,3451
0.8,0.0,7.0,10.2,56,4894
0.3,0.1,8.9,8.7,56,5186
0.6,0.5,10.5,6.4,56,5295
0.5,0.2,12.8,4.5,56,5361
0.5,0.0,15.0,2.5,56,5499
0.5,0.1,15.9,1.5,56,14744
1.9,1.2,0.8,14.1,65,3161
1.2,0.6,3.4,12.8,65,3268
0.7,0.5,4.5,12.3,65,3451
0.4,0.3,6.7,10.6,65,4894
0.6,0.1,8.9,8.4,65,5186
1.1,0.3,10.7,5.9,65,5295
0.6,0.1,12.9,4.4,65,5361
0.2,0.3,14.7,2.8,65,5499
0.6,0.4,15.6,1.4,65,14744
1.7,0.9,1.1,14.3,74,3161
1.2,0.7,3.3,12.8,74,3268
0.3,0.0,5.0,12.7,74,3451
0.2,0.3,6.7,10.8,74,4894
0.1,0.0,9.0,8.9,74,5186
0.5,0.1,10.9,6.5,74,5295
0.3,0.2,12.8,4.7,74,5361
0.4,0.3,13.7,3.6,74,5499
0.5,0.0,16.0,1.5,74,14744
1.1,1.0,1.0,14.9,83,3161
1.4,0.6,3.4,12.6,83,3268
0.4,0.2,5.8,11.6,83,3451
0.5,0.1,6.9,10.5,83,4894
0.0,0.0,9.0,9.0,83,5186
0.3,0.1,10.9,6.7,83,5295
0.6,0.3,12.7,4.4,83,5361
0.4,0.5,13.5,3.6,83,5499
0.8,0.0,16.0,1.2,83,14744
1.7,1.0,1.0,14.3,92,3161
1.9,1.6,2.4,12.1,92,3268
0.1,0.7,5.3,11.9,92,3451
0.1,0.2,6.8,10.9,92,4894
0.2,0.1,8.9,8.8,92,5186
0.4,0.1,10.9,6.6,92,5295
0.6,0.3,12.7,4.4,92,5361
0.2,0.2,14.8,2.8,92,5499
0.3,0.3,15.7,1.7,92,14744
1.5,0.8,1.2,14.5,101,3161
1.8,1.0,3.0,12.2,101,3268
0.6,0.2,4.8,12.4,101,3451
0.2,0.1,6.9,10.8,101,4894
0.2,0.0,9.0,8.8,101,5186
0.8,0.0,11.0,6.2,101,5295
0.2,0.3,12.7,4.8,101,5361
0.6,0.4,14.6,2.4,101,5499
0.7,0.1,15.9,1.3,101,14744
1.3,0.8,1.2,14.7,110,3161
1.0,1.1,2.9,13.0,110,3268
0.6,0.2,4.8,12.4,110,3451
0.4,0.3,6.7,10.6,110,4894
0.7,0.1,8.9,8.3,110,5186
0.4,0.3,10.7,6.6,110,5295
0.2,0.1,12.9,4.8,110,5361
0.6,0.2,13.8,3.4,110,5499
0.5,0.4,15.6,1.5,110,14744
2.1,1.0,1.0,13.9,119,3161
1.5,1.4,2.6,12.5,119,3268
0.6,0.3,5.7,11.4,119,3451
0.2,0.0,7.0,10.8,119,4894
0.3,0.1,8.9,8.7,119,5186
0.4,0.2,10.8,6.6,119,5295
0.4,0.1,12.9,4.6,119,5361
0.5,0.2,13.8,3.5,119,5499
0.3,0.2,15.8,1.7,119,14744
1.9,1.1,0.9,14.1,128,3161
0.9,0.7,3.3,13.1,128,3268
0.5,0.1,5.9,11.5,128,3451
0.2,0.2,6.8,10.8,128,4894
0.2,0.1,8.9,8.8,128,5186
0.2,0.5,10.5,6.8,128,5295
0.1,0.1,12.9,4.9,128,5361
0.2,0.1,14.9,2.8,128,5499
0.3,0.6,15.4,1.7,128,14744
1.3,1.1,0.9,14.7,137,3161
1.2,0.5,3.5,12.8,137,3268
0.4,0.3,4.7,12.6,137,3451
0.3,0.2,6.8,10.7,137,4894
0.1,0.0,9.0,8.9,137,5186
0.4,0.0,11.0,6.6,137,5295
0.6,0.2,12.8,4.4,137,5361
0.2,0.6,14.4,2.8,137,5499
0.6,0.1,15.9,1.4,137,14744
2.4,1.3,0.7,13.6,146,3161
1.6,1.3,2.7,12.4,146,3268
0.4,0.5,4.5,12.6,146,3451
0.1,0.2,6.8,10.9,146,4894
0.4,0.0,9.0,8.6,146,5186
0.4,0.2,10.8,6.6,146,5295
0.5,0.1,12.9,4.5,146,5361
0.3,0.3,13.7,3.7,146,5499
0.4,0.1,15.9,1.6,146,14744
1.7,1.2,0.8,14.3,155,3161
1.9,1.1,2.9,12.1,155,3268
0.7,0.5,5.5,11.3,155,3451
0.3,0.1,6.9,10.7,155,4894
0.0,0.1,8.9,9.0,155,5186
0.3,0.2,10.8,6.7,155,5295
0.5,0.0,13.0,4.5,155,5361
0.5,0.3,13.7,3.5,155,5499
