FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
14.0,0.0,6.0,0.0,2,1080
12.0,0.0,8.0,0.0,2,1140
9.0,0.0,11.0,0.0,2,1230
8.0,0.0,12.0,0.0,2,1320
6.0,0.0,14.0,0.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
0.0,3.0,0.0,17.0,11,960
0.0,5.0,0.0,15.0,11,1020
0.0,6.0,0.0,14.0,11,1080
0.0,8.0,0.0,12.0,11,1140
9.0,0.0,11.0,0.0,11,1230
8.0,0.0,12.0,0.0,11,1320
6.0,0.0,14.0,0.0,11,1770
4.0,0.0,16.0,0.0,11,1980
2.0,0.0,18.0,0.0,11,2160
0.0,3.0,0.0,17.0,20,960
3.9,2.3,2.7,11.1,20,1020
4.6,1.1,4.9,9.4,20,1080
3.3,2.4,5.6,8.7,20,1140
2.1,2.3,8.7,6.9,20,1230
0.5,3.0,9.0,7.5,20,1320
0.3,3.5,10.5,5.7,20,1770
3.2,1.5,14.5,0.8,20,1980
2.0,0.0,18.0,0.0,20,2160
1.4,2.1,0.9,15.6,29,960
2.1,1.4,3.6,12.9,29,1020
1.3,1.4,4.6,12.7,29,1080
1.3,2.5,5.5,10.7,29,1140
1.6,0.9,10.1,7.4,29,1230
1.3,1.7,10.3,6.7,29,1320
1.9,2.1,11.9,4.1,29,1770
2.4,2.1,13.9,1.6,29,1980
2.0,0.0,18.0,0.0,29,2160
1.7,1.3,1.7,15.3,38,960
0.6,1.1,3.9,14.4,38,1020
1.3,1.2,4.8,12.7,38,1080
0.7,2.4,5.6,11.3,38,1140
2.2,1.2,9.8,6.8,38,1230
1.3,1.4,10.6,6.7,38,1320
1.2,0.8,13.2,4.8,38,1770
1.1,1.5,14.5,2.9,38,1980
1.8,0.3,17.7,0.2,38,2160
2.0,0.4,2.6,15.0,47,960
0.7,0.7,4.3,14.3,47,1020
0.7,1.5,4.5,13.3,47,1080
1.9,2.2,5.8,10.1,47,1140
2.4,1.3,9.7,6.6,47,1230
1.0,0.5,11.5,7.0,47,1320
0.5,0.5,13.5,5.5,47,1770
1.4,1.4,14.6,2.6,47,1980
1.1,1.9,16.1,0.9,47,2160
0.9,1.0,2.0,16.1,56,960
0.6,0.9,4.1,14.4,56,1020
0.9,1.5,4.5,13.1,56,1080
0.9,2.1,5.9,11.1,56,1140
2.4,0.7,10.3,6.6,56,1230
0.8,0.1,11.9,7.2,56,1320
0.4,0.5,13.5,5.6,56,1770
1.4,0.5,15.5,2.6,56,1980
1.6,0.9,17.1,0.4,56,2160
0.9,0.4,2.6,16.1,65,960
0.7,0.5,4.5,14.3,65,1020
1.2,1.6,4.4,12.8,65,1080
1.2,2.3,5.7,10.8,65,1140
1.5,1.5,9.5,7.5,65,1230
1.1,0.0,12.0,6.9,65,1320
0.0,0.9,13.1,6.0,65,1770
1.5,0.8,15.2,2.5,65,1980
1.1,0.8,17.2,0.9,65,2160
0.5,0.8,2.2,16.5,74,960
0.9,0.9,4.1,14.1,74,1020
1.3,1.2,4.8,12.7,74,1080
1.6,1.5,6.5,10.4,74,1140
2.4,0.3,10.7,6.6,74,1230
1.6,0.3,11.7,6.4,74,1320
0.2,0.9,13.1,5.8,74,1770
1.5,0.3,15.7,2.5,74,1980
0.5,0.8,17.2,1.5,74,2160
0.2,1.1,1.9,16.8,83,960
0.5,1.3,3.7,14.5,83,1020
1.2,2.1,3.9,12.8,83,1080
1.3,1.8,6.2,10.7,83,1140
1.2,1.0,10.0,7.8,83,1230
1.3,0.0,12.0,6.7,83,1320
0.7,1.1,12.9,5.3,83,1770
1.3,0.9,15.1,2.7,83,1980
1.0,0.5,17.5,1.0,83,2160
0.8,0.4,2.6,16.2,92,960
0.5,1.0,4.0,14.5,92,1020
0.8,1.0,5.0,13.2,92,1080
1.6,1.9,6.1,10.4,92,1140
2.0,0.5,10.5,7.0,92,1230
1.7,0.0,12.0,6.3,92,1320
0.4,0.7,13.3,5.6,92,1770
2.0,0.9,15.1,2.0,92,1980
1.0,0.7,17.3,1.0,92,2160
0.3,0.9,2.1,16.7,101,960
1.4,1.9,3.1,13.6,101,1020
0.8,1.5,4.5,13.2,101,1080
1.3,1.0,7.0,10.7,101,1140
1.8,1.5,9.5,7.2,101,1230
1.7,0.8,11.2,6.3,101,1320
0.6,0.3,13.7,5.4,101,1770
0.9,0.8,15.2,3.1,101,1980
1.1,0.8,17.2,0.9,101,2160
0.6,0.8,2.2,16.4,110,960
0.6,1.2,3.8,14.4,110,1020
1.1,1.3,4.7,12.9,110,1080
1.5,1.1,6.9,10.5,110,1140
1.4,0.8,10.2,7.6,110,1230
1.2,0.1,11.9,6.8,110,1320
0.8,0.2,13.8,5.2,110,1770
1.4,1.1,14.9,2.6,110,1980
0.8,0.2,17.8,1.2,110,2160
0.9,0.9,2.1,16.1,119,960
0.6,1.1,3.9,14.4,119,1020
1.1,1.2,4.8,12.9,119,1080
1.3,1.2,6.8,10.7,119,1140
1.3,0.9,10.1,7.7,119,1230
1.3,0.0,12.0,6.7,119,1320
0.6,0.6,13.4,5.4,119,1770
1.4,0.9,15.1,2.6,119,1980
0.9,0.1,17.9,1.1,119,2160
0.9,0.5,2.5,16.1,128,960
0.8,1.1,3.9,14.2,128,1020
2.0,0.7,5.3,12.0,128,1080
0.7,1.5,6.5,11.3,128,1140
1.5,0.5,10.5,7.5,128,1230
1.0,0.3,11.7,7.0,128,1320
0.6,0.7,13.3,5.4,128,1770
1.2,0.7,15.3,2.8,128,1980
1.1,0.4,17.6,0.9,128,2160
1.2,0.5,2.5,15.8,137,960
0.4,1.1,3.9,14.6,137,1020
1.2,1.3,4.7,12.8,137,1080
1.1,1.4,6.6,10.9,137,1140
1.6,0.1,10.9,7.4,137,1230
1.3,0.1,11.9,6.7,137,1320
0.8,0.4,13.6,5.2,137,1770
0.6,1.2,14.8,3.4,137,1980
0.9,0.2,17.8,1.1,137,2160
0.8,0.6,2.4,16.2,146,960
0.5,1.6,3.4,14.5,146,1020
2.0,0.7,5.3,12.0,146,1080
1.3,2.1,5.9,10.7,146,1140
1.3,0.4,10.6,7.7,146,1230
0.5,0.0,12.0,7.5,146,1320
0.6,0.1,13.9,5.4,146,1770
0.6,1.0,16.0,2.4,146,1980
0.9,0.3,17.7,1.1,146,2160
0.7,0.7,2.3,16.3,155,960
0.3,1.3,3.7,14.7,155,1020
2.0,0.6,5.4,12.0,155,1080
2.0,2.1,5.9,10.0,155,1140
1.5,0.5,10.5,7.5,155,1230
1.3,0.1,11.9,6.7,155,1320
0.5,0.2,13.8,5.5,155,1770
1.3,0.5,15.5,2.7,155,1980
0.8,0.4,17.6,1.2,155,2160
1.3,0.5,2.5,15.7,164,960
0.5,1.0,4.0,14.5,164,1020
1.7,2.2,3.8,12.3,164,1080
0.8,1.9,6.1,11.2,164,1140
2.0,0.6,10.4,7.0,164,1230
1.0,0.3,11.7,7.0,164,1320
0.0,0.0,14.0,6.0,164,1770
1.1,0.3,15.7,2.9,164,1980
0.9,0.2,17.8,1.1,164,2160
