FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
13.0,0.0,5.0,0.0,2,3451
11.0,0.0,7.0,0.0,2,4894
9.0,0.0,9.0,0.0,2,5186
7.0,0.0,11.0,0.0,2,5295
5.0,0.0,13.0,0.0,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
1.1,1.7,0.3,14.9,11,3161
3.6,2.4,1.6,10.4,11,3268
1.5,0.0,6.0,10.5,11,3451
1.2,0.7,6.3,9.8,11,4894
0.0,0.2,8.8,9.0,11,5186
1.5,0.9,10.1,5.5,11,5295
1.9,2.0,11.0,3.1,11,5361
1.1,1.9,12.1,2.9,11,5499
2.0,0.0,16.0,0.0,11,14744
2.6,1.4,0.6,13.4,20,3161
2.1,1.6,2.4,11.9,20,3268
1.8,0.8,5.2,10.2,20,3451
0.6,0.3,6.7,10.4,20,4894
0.2,0.0,9.0,8.8,20,5186
2.0,1.2,9.8,5.0,20,5295
1.4,1.3,11.7,3.6,20,5361
0.5,0.7,14.3,2.5,20,5499
1.1,1.2,14.8,0.9,20,14744
2.4,1.2,0.8,13.6,29,3161
1.6,1.2,2.8,12.4,29,3268
0.2,0.4,4.6,12.8,29,3451
1.0,0.8,6.2,10.0,29,4894
0.6,0.1,8.9,8.4,29,5186
1.7,0.5,10.5,5.3,29,5295
0.6,0.7,12.3,4.4,29,5361
0.5,0.3,14.7,2.5,29,5499
0.5,0.9,15.1,1.5,29,14744
1.8,1.0,1.0,14.2,38,3161
2.0,0.8,3.2,12.0,38,3268
0.6,0.1,4.9,12.4,38,3451
0.6,0.4,6.6,10.4,38,4894
0.4,0.1,8.9,8.6,38,5186
2.0,1.1,9.9,5.0,38,5295
0.2,0.1,12.9,4.8,38,5361
0.8,0.0,14.0,3.2,38,5499
1.5,0.6,15.4,0.5,38,14744
2.3,1.4,0.6,13.7,47,3161
1.9,1.0,3.0,12.1,47,3268
0.4,0.0,6.0,11.6,47,3451
0.9,0.4,6.6,10.1,47,4894
0.2,0.2,8.8,8.8,47,5186
1.2,0.5,10.5,5.8,47,5295
0.8,0.2,12.8,4.2,47,5361
0.3,0.4,13.6,3.7,47,5499
0.8,1.0,15.0,1.2,47,14744
1.8,1.2,0.8,14.2,56,3161
1.2,1.2,2.8,12.8,56,3268
0.4,0.0,6.0,11.6,56,3451
0.8,0.2,6.8,10.2,56,4894
0.0,0.2,8.8,9.0,56,5186
0.9,0.5,10.5,6.1,56,5295
0.3,0.2,12.8,4.7,56,5361
0.2,0.1,14.9,2.8,56,5499
0.6,0.6,15.4,1.4,56,14744
1.0,1.0,1.0,15.0,65,3161
1.1,0.6,3.4,12.9,65,3268
0.9,0.3,4.7,12.1,65,3451
0.6,0.5,6.5,10.4,65,4894
0.3,0.4,8.6,8.7,65,5186
0.5,0.4,10.6,6.5,65,5295
0.3,0.1,12.9,4.7,65,5361
0.2,0.0,15.0,2.8,65,5499
0.2,0.1,15.9,1.8,65,14744
1.8,1.1,0.9,14.2,74,3161
1.6,1.3,2.7,12.4,74,3268
0.5,0.1,4.9,12.5,74,3451
0.4,0.2,6.8,10.6,74,4894
0.0,0.0,9.0,9.0,74,5186
0.3,0.3,10.7,6.7,74,5295
0.5,0.0,13.0,4.5,74,5361
0.6,0.4,13.6,3.4,74,5499
0.3,0.6,15.4,1.7,74,14744
1.5,1.0,1.0,14.5,83,3161
1.5,1.0,3.0,12.5,83,3268
0.3,0.4,5.6,11.7,83,3451
0.6,0.1,6.9,10.4,83,4894
0.2,0.1,8.9,8.8,83,5186
0.2,0.8,10.2,6.8,83,5295
0.4,0.1,12.9,4.6,83,5361
0.3,0.3,13.7,3.7,83,5499
0.8,0.2,15.8,1.2,83,14744
1.5,1.1,0.9,14.5,92,3161
1.2,1.0,3.0,12.8,92,3268
0.8,0.3,5.7,11.2,92,3451
0.4,0.0,7.0,10.6,92,4894
0.1,0.2,8.8,8.9,92,5186
0.7,0.2,10.8,6.3,92,5295
0.5,0.3,12.7,4.5,92,5361
0.3,0.1,14.9,2.7,92,5499
0.7,0.4,15.6,1.3,92,14744
1.4,1.2,0.8,14.6,101,3161
1.6,1.0,3.0,12.4,101,3268
0.5,0.6,4.4,12.5,101,3451
0.5,0.0,7.0,10.5,101,4894
0.3,0.0,9.0,8.7,101,5186
0.7,0.0,11.0,6.3,101,5295
0.3,0.0,13.0,4.7,101,5361
0.3,0.1,14.9,2.7,101,5499
0.5,0.1,15.9,1.5,101,14744
1.1,1.3,0.7,14.9,110,3161
1.2,1.7,2.3,12.8,110,3268
0.5,0.2,4.8,12.5,110,3451
0.4,0.2,6.8,10.6,110,4894
0.0,0.2,8.8,9.0,110,5186
0.3,0.3,10.7,6.7,110,5295
0.3,0.3,12.7,4.7,110,5361
0.4,0.3,13.7,3.6,110,5499
0.6,0.3,15.7,1.4,110,14744
1.5,1.1,0.9,14.5,119,3161
1.8,0.8,3.2,12.2,119,3268
0.6,0.1,5.9,11.4,119,3451
0.2,0.2,6.8,10.8,119,4894
0.4,0.0,9.0,8.6,119,5186
0.4,0.3,10.7,6.6,119,5295
0.2,0.4,12.6,4.8,119,5361
0.6,0.1,13.9,3.4,119,5499
0.4,0.2,15.8,1.6,119,14744
1.0,1.1,0.9,15.0,128,3161
1.3,0.8,3.2,12.7,128,3268
0.4,0.2,5.8,11.6,128,3451
0.5,0.4,6.6,10.5,128,4894
0.5,0.2,8.8,8.5,128,5186
0.2,0.2,10.8,6.8,128,5295
0.1,0.0,13.0,4.9,128,5361
0.5,0.1,14.9,2.5,128,5499
0.3,0.2,15.8,1.7,128,14744
0.8,1.3,0.7,15.2,137,3161
0.8,1.0,3.0,13.2,137,3268
0.8,0.1,4.9,12.2,137,3451
0.2,0.4,6.6,10.8,137,4894
0.3,0.2,8.8,8.7,137,5186
0.6,0.2,10.8,6.4,137,5295
0.4,0.2,12.8,4.6,137,5361
0.4,0.4,14.6,2.6,137,5499
0.5,0.4,15.6,1.5,137,14744
1.3,1.6,0.4,14.7,146,3161
1.0,1.0,3.0,13.0,146,3268
0.8,0.4,4.6,12.2,146,3451
0.4,0.3,6.7,10.6,146,4894
0.3,0.0,9.0,8.7,146,5186
0.4,0.0,11.0,6.6,146,5295
0.4,0.0,13.0,4.6,146,5361
0.6,0.1,13.9,3.4,146,5499
0.4,0.0,16.0,1.6,146,14744
1.3,1.5,0.5,14.7,155,3161
1.4,0.4,3.6,12.6,155,3268
0.4,0.2,5.8,11.6,155,3451
0.4,0.2,6.8,10.6,155,4894
0.4,0.2,8.8,8.6,155,5186
0.3,0.1,10.9,6.7,155,5295
0.5,0.0,13.0,4.5,155,5361
0.4,0.7,13.3,3.6,155,5499
