FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
4.6,1.0,4.0,8.4,2,3451
4.3,3.4,3.6,6.7,2,4894
4.1,3.9,5.1,4.9,2,5186
2.9,5.2,5.8,4.1,2,5295
2.4,6.0,7.0,2.6,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
1.7,1.8,0.2,14.3,11,3161
3.5,1.7,2.3,10.5,11,3268
2.0,1.8,4.2,10.0,11,3451
0.3,1.7,5.3,10.7,11,4894
0.0,0.0,9.0,9.0,11,5186
1.3,1.7,9.3,5.7,11,5295
1.5,2.5,10.5,3.5,11,5361
1.7,1.8,12.2,2.3,11,5499
0.9,1.5,14.5,1.1,11,14744
1.9,1.3,0.7,14.1,20,3161
2.7,1.3,2.7,11.3,20,3268
0.7,0.4,5.6,11.3,20,3451
0.1,0.6,6.4,10.9,20,4894
0.0,0.0,9.0,9.0,20,5186
1.6,0.9,10.1,5.4,20,5295
0.9,1.5,11.5,4.1,20,5361
0.7,0.8,14.2,2.3,20,5499
1.2,1.0,15.0,0.8,20,14744
1.5,1.2,0.8,14.5,29,3161
1.5,1.2,2.8,12.5,29,3268
0.4,0.2,4.8,12.6,29,3451
0.7,0.5,6.5,10.3,29,4894
0.1,0.2,8.8,8.9,29,5186
0.7,1.2,9.8,6.3,29,5295
0.2,0.9,12.1,4.8,29,5361
0.4,0.8,14.2,2.6,29,5499
0.7,0.8,15.2,1.3,29,14744
1.8,1.5,0.5,14.2,38,3161
1.5,1.7,2.3,12.5,38,3268
0.7,0.3,4.7,12.3,38,3451
0.6,0.3,6.7,10.4,38,4894
0.4,0.2,8.8,8.6,38,5186
1.4,0.5,10.5,5.6,38,5295
1.0,0.4,12.6,4.0,38,5361
0.3,0.7,13.3,3.7,38,5499
0.7,0.4,15.6,1.3,38,14744
1.6,1.1,0.9,14.4,47,3161
1.4,1.2,2.8,12.6,47,3268
0.4,0.2,5.8,11.6,47,3451
0.2,0.3,6.7,10.8,47,4894
0.0,0.2,8.8,9.0,47,5186
0.4,0.7,10.3,6.6,47,5295
0.4,0.4,12.6,4.6,47,5361
0.3,0.6,13.4,3.7,47,5499
0.5,0.3,15.7,1.5,47,14744
1.4,1.4,0.6,14.6,56,3161
1.4,1.2,2.8,12.6,56,3268
0.7,0.6,5.4,11.3,56,3451
0.7,0.7,6.3,10.3,56,4894
0.6,0.0,9.0,8.4,56,5186
0.4,0.4,10.6,6.6,56,5295
0.4,0.6,12.4,4.6,56,5361
0.1,0.9,14.1,2.9,56,5499
0.4,0.4,15.6,1.6,56,14744
1.1,1.4,0.6,14.9,65,3161
0.8,1.7,2.3,13.2,65,3268
0.6,1.1,3.9,12.4,65,3451
0.4,0.5,6.5,10.6,65,4894
0.1,0.0,9.0,8.9,65,5186
0.3,0.6,10.4,6.7,65,5295
0.3,0.5,12.5,4.7,65,5361
0.4,0.4,14.6,2.6,65,5499
0.2,0.5,15.5,1.8,65,14744
1.8,0.9,1.1,14.2,74,3161
1.8,1.3,2.7,12.2,74,3268
1.0,0.2,4.8,12.0,74,3451
0.5,0.4,6.6,10.5,74,4894
0.1,0.1,8.9,8.9,74,5186
0.5,0.4,10.6,6.5,74,5295
0.3,0.4,12.6,4.7,74,5361
0.2,0.1,13.9,3.8,74,5499
0.4,0.3,15.7,1.6,74,14744
1.2,1.4,0.6,14.8,83,3161
1.4,1.3,2.7,12.6,83,3268
0.3,0.7,5.3,11.7,83,3451
0.0,0.1,6.9,11.0,83,4894
0.1,0.1,8.9,8.9,83,5186
0.2,0.5,10.5,6.8,83,5295
0.4,0.9,12.1,4.6,83,5361
0.7,0.0,14.0,3.3,83,5499
0.7,0.4,15.6,1.3,83,14744
1.3,1.1,0.9,14.7,92,3161
1.0,1.8,2.2,13.0,92,3268
0.4,1.0,5.0,11.6,92,3451
0.2,0.2,6.8,10.8,92,4894
0.1,0.2,8.8,8.9,92,5186
0.3,0.4,10.6,6.7,92,5295
0.6,0.2,12.8,4.4,92,5361
0.4,0.4,14.6,2.6,92,5499
0.6,0.6,15.4,1.4,92,14744
1.3,1.2,0.8,14.7,101,3161
1.4,1.4,2.6,12.6,101,3268
0.9,0.6,4.4,12.1,101,3451
0.5,0.3,6.7,10.5,101,4894
0.2,0.1,8.9,8.8,101,5186
0.2,0.3,10.7,6.8,101,5295
0.2,0.4,12.6,4.8,101,5361
0.0,0.8,14.2,3.0,101,5499
0.5,0.3,15.7,1.5,101,14744
1.5,0.9,1.1,14.5,110,3161
0.8,1.7,2.3,13.2,110,3268
0.3,0.8,4.2,12.7,110,3451
0.4,0.4,6.6,10.6,110,4894
0.8,0.0,9.0,8.2,110,5186
0.4,0.2,10.8,6.6,110,5295
0.3,0.2,12.8,4.7,110,5361
0.3,0.3,13.7,3.7,110,5499
0.4,0.3,15.7,1.6,110,14744
0.6,1.2,0.8,15.4,119,3161
1.0,1.5,2.5,13.0,119,3268
0.5,0.6,5.4,11.5,119,3451
0.3,0.2,6.8,10.7,119,4894
0.2,0.0,9.0,8.8,119,5186
0.1,0.2,10.8,6.9,119,5295
0.3,0.0,13.0,4.7,119,5361
0.3,0.2,13.8,3.7,119,5499
0.4,0.1,15.9,1.6,119,14744
1.1,1.1,0.9,14.9,128,3161
1.4,1.1,2.9,12.6,128,3268
0.4,0.9,5.1,11.6,128,3451
0.8,0.2,6.8,10.2,128,4894
0.3,0.2,8.8,8.7,128,5186
0.4,0.2,10.8,6.6,128,5295
0.4,0.1,12.9,4.6,128,5361
0.0,0.3,14.7,3.0,128,5499
0.3,0.4,15.6,1.7,128,14744
1.7,1.5,0.5,14.3,137,3161
0.9,1.5,2.5,13.1,137,3268
0.8,0.8,4.2,12.2,137,3451
0.3,0.2,6.8,10.7,137,4894
0.1,0.1,8.9,8.9,137,5186
0.3,0.2,10.8,6.7,137,5295
0.1,0.0,13.0,4.9,137,5361
0.3,0.2,14.8,2.7,137,5499
0.6,0.5,15.5,1.4,137,14744
1.1,1.1,0.9,14.9,146,3161
1.1,1.5,2.5,12.9,146,3268
0.9,0.7,4.3,12.1,146,3451
0.6,0.1,6.9,10.4,146,4894
0.3,0.0,9.0,8.7,146,5186
0.1,0.7,10.3,6.9,146,5295
0.3,0.2,12.8,4.7,146,5361
0.0,0.5,13.5,4.0,146,5499
0.1,0.4,15.6,1.9,146,14744
0.5,1.3,0.7,15.5,155,3161
1.0,1.2,2.8,13.0,155,3268
0.6,0.7,5.3,11.4,155,3451
0.4,0.0,7.0,10.6,155,4894
0.2,0.0,9.0,8.8,155,5186
0.2,0.4,10.6,6.8,155,5295
0.2,0.3,12.7,4.8,155,5361
0.1,0.1,13.9,3.9,155,5499
