FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
13.0,0.0,5.0,0.0,2,3451
11.0,0.0,7.0,0.0,2,4894
9.0,0.0,9.0,0.0,2,5186
7.0,0.0,11.0,0.0,2,5295
5.0,0.0,13.0,0.0,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
0.0,2.0,0.0,16.0,11,3161
0.0,4.0,0.0,14.0,11,3268
0.0,6.0,0.0,12.0,11,3451
0.0,7.0,0.0,11.0,11,4894
9.0,0.0,9.0,0.0,11,5186
7.0,0.0,11.0,0.0,11,5295
5.0,0.0,13.0,0.0,11,5361
4.0,0.0,14.0,0.0,11,5499
2.0,0.0,16.0,0.0,11,14744
0.0,2.0,0.0,16.0,20,3161
1.8,2.9,1.1,12.2,20,3268
4.8,0.0,6.0,7.2,20,3451
1.7,0.0,7.0,9.3,20,4894
0.0,0.0,9.0,9.0,20,5186
0.0,1.1,9.9,7.0,20,5295
2.0,3.9,9.1,3.0,20,5361
2.7,0.7,14.3,0.3,20,5499
2.0,0.0,16.0,0.0,20,14744
0.6,1.9,0.1,15.4,29,3161
1.9,0.8,3.2,12.1,29,3268
2.1,0.7,4.3,10.9,29,3451
0.6,1.0,6.0,10.4,29,4894
0.0,0.0,9.0,9.0,29,5186
0.9,1.2,9.8,6.1,29,5295
2.1,0.4,12.6,2.9,29,5361
1.5,3.4,11.6,1.5,29,5499
2.0,0.0,16.0,0.0,29,14744
0.4,1.8,0.2,15.6,38,3161
2.5,1.0,3.0,11.5,38,3268
0.6,1.0,4.0,12.4,38,3451
0.7,0.4,6.6,10.3,38,4894
0.0,0.1,8.9,9.0,38,5186
1.6,1.0,10.0,5.4,38,5295
2.3,0.3,12.7,2.7,38,5361
0.9,0.6,13.4,3.1,38,5499
1.0,0.5,15.5,1.0,38,14744
1.5,1.5,0.5,14.5,47,3161
1.8,0.8,3.2,12.2,47,3268
1.8,0.3,5.7,10.2,47,3451
1.2,0.6,6.4,9.8,47,4894
0.0,0.2,8.8,9.0,47,5186
0.7,1.0,10.0,6.3,47,5295
1.5,0.6,12.4,3.5,47,5361
0.6,0.0,14.0,3.4,47,5499
0.8,0.9,15.1,1.2,47,14744
2.4,1.3,0.7,13.6,56,3161
2.1,0.7,3.3,11.9,56,3268
0.4,0.0,6.0,11.6,56,3451
0.6,1.1,5.9,10.4,56,4894
0.0,0.1,8.9,9.0,56,5186
1.3,0.5,10.5,5.7,56,5295
1.9,0.3,12.7,3.1,56,5361
0.6,0.2,14.8,2.4,56,5499
0.6,1.0,15.0,1.4,56,14744
1.1,1.1,0.9,14.9,65,3161
1.5,0.6,3.4,12.5,65,3268
0.7,0.0,5.0,12.3,65,3451
1.0,0.3,6.7,10.0,65,4894
0.0,0.1,8.9,9.0,65,5186
1.4,0.5,10.5,5.6,65,5295
0.2,0.3,12.7,4.8,65,5361
0.5,0.0,15.0,2.5,65,5499
0.4,1.0,15.0,1.6,65,14744
1.2,1.4,0.6,14.8,74,3161
1.1,1.1,2.9,12.9,74,3268
1.0,0.0,5.0,12.0,74,3451
0.4,0.8,6.2,10.6,74,4894
0.0,0.0,9.0,9.0,74,5186
1.2,0.6,10.4,5.8,74,5295
0.0,0.7,12.3,5.0,74,5361
0.6,0.0,14.0,3.4,74,5499
0.3,1.5,14.5,1.7,74,14744
1.5,1.2,0.8,14.5,83,3161
1.4,1.0,3.0,12.6,83,3268
0.4,0.0,6.0,11.6,83,3451
1.2,0.3,6.7,9.8,83,4894
0.0,0.1,8.9,9.0,83,5186
0.5,0.4,10.6,6.5,83,5295
0.0,0.1,12.9,5.0,83,5361
1.0,0.0,14.0,3.0,83,5499
0.6,0.6,15.4,1.4,83,14744
1.8,1.6,0.4,14.2,92,3161
1.7,1.1,2.9,12.3,92,3268
0.6,0.0,6.0,11.4,92,3451
0.9,0.3,6.7,10.1,92,4894
0.0,0.1,8.9,9.0,92,5186
0.5,0.3,10.7,6.5,92,5295
0.2,0.2,12.8,4.8,92,5361
0.4,0.0,15.0,2.6,92,5499
0.7,0.1,15.9,1.3,92,14744
1.5,1.1,0.9,14.5,101,3161
1.3,0.7,3.3,12.7,101,3268
0.4,0.0,5.0,12.6,101,3451
0.6,0.0,7.0,10.4,101,4894
0.0,0.0,9.0,9.0,101,5186
0.6,0.4,10.6,6.4,101,5295
0.2,0.2,12.8,4.8,101,5361
0.4,0.0,15.0,2.6,101,5499
0.8,0.1,15.9,1.2,101,14744
1.4,1.4,0.6,14.6,110,3161
0.6,1.5,2.5,13.4,110,3268
0.7,0.0,5.0,12.3,110,3451
0.8,0.1,6.9,10.2,110,4894
0.0,0.1,8.9,9.0,110,5186
0.3,0.2,10.8,6.7,110,5295
0.1,0.1,12.9,4.9,110,5361
0.8,0.0,14.0,3.2,110,5499
0.7,0.0,16.0,1.3,110,14744
1.7,1.5,0.5,14.3,119,3161
1.0,0.9,3.1,13.0,119,3268
0.4,0.0,6.0,11.6,119,3451
0.4,0.0,7.0,10.6,119,4894
0.0,0.2,8.8,9.0,119,5186
0.5,0.5,10.5,6.5,119,5295
0.1,0.1,12.9,4.9,119,5361
0.7,0.0,14.0,3.3,119,5499
0.5,0.1,15.9,1.5,119,14744
0.9,1.2,0.8,15.1,128,3161
1.3,1.1,2.9,12.7,128,3268
0.4,0.0,6.0,11.6,128,3451
0.4,0.0,7.0,10.6,128,4894
0.0,0.0,9.0,9.0,128,5186
0.7,0.3,10.7,6.3,128,5295
0.4,0.2,12.8,4.6,128,5361
0.7,0.4,14.6,2.3,128,5499
0.7,0.1,15.9,1.3,128,14744
0.6,1.2,0.8,15.4,137,3161
1.3,0.9,3.1,12.7,137,3268
0.4,0.0,5.0,12.6,137,3451
0.5,0.0,7.0,10.5,137,4894
0.0,0.1,8.9,9.0,137,5186
0.2,0.1,10.9,6.8,137,5295
0.0,0.1,12.9,5.0,137,5361
0.4,0.2,14.8,2.6,137,5499
0.6,0.4,15.6,1.4,137,14744
1.0,1.4,0.6,15.0,146,3161
1.0,1.4,2.6,13.0,146,3268
0.6,0.0,5.0,12.4,146,3451
0.2,0.1,6.9,10.8,146,4894
0.0,0.1,8.9,9.0,146,5186
0.3,0.2,10.8,6.7,146,5295
0.3,0.6,12.4,4.7,146,5361
0.5,0.3,13.7,3.5,146,5499
0.4,0.3,15.7,1.6,146,14744
0.5,1.6,0.4,15.5,155,3161
1.1,0.9,3.1,12.9,155,3268
0.8,0.0,6.0,11.2,155,3451
0.3,0.2,6.8,10.7,155,4894
0.0,0.1,8.9,9.0,155,5186
0.1,0.2,10.8,6.9,155,5295
0.0,0.3,12.7,5.0,155,5361
0.3,0.0,14.0,3.7,155,5499
